,Date,Round,会場,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国２連率,当地勝率,当地２連率,モーター２連率,ボート２連率,展示タイム,スタートタイム
0,20231021,1,大村,1,3859,多羅尾達,50,東京,54,B1,5.05,28.38,3.82,9.09,39.33,33.71,6.99,0.2
1,20231021,1,大村,2,4864,小川日紀,34,福岡,53,B1,4.48,23.91,4.39,26.09,25.88,21.52,6.99,0.2
2,20231021,1,大村,3,3772,一柳和孝,49,埼玉,54,B1,5.52,33.60,0.00,0.00,28.57,33.33,6.99,0.2
3,20231021,1,大村,4,3577,向所浩二,50,兵庫,59,B1,4.50,25.64,5.57,28.57,28.89,20.24,6.99,0.2
4,20231021,1,大村,5,3906,飯山晃三,45,長崎,59,B1,4.44,24.79,5.26,35.96,25.88,23.66,6.99,0.2
5,20231021,1,大村,6,4336,松田竜馬,39,福岡,54,B1,4.88,30.23,5.92,41.67,43.82,36.90,6.99,0.2
0,20231021,2,大村,1,3870,寺嶋雄,47,福井,52,B1,4.96,29.00,3.73,18.18,18.29,28.17,6.99,0.2
1,20231021,2,大村,2,5122,相馬翔,22,埼玉,56,B1,3.40,9.68,4.96,29.63,27.50,36.27,6.99,0.2
2,20231021,2,大村,3,4669,井上茂,38,福岡,54,B1,4.16,18.03,4.08,20.34,18.67,28.41,6.99,0.2
3,20231021,2,大村,4,4497,桑原悠,36,長崎,51,A1,6.15,41.41,7.31,59.24,21.05,33.72,6.99,0.2
4,20231021,2,大村,5,4022,待鳥雄紀,43,福岡,57,A2,5.90,43.36,5.95,50.00,30.12,32.91,6.99,0.2
5,20231021,2,大村,6,5193,米丸乃絵,22,福岡,47,B1,4.89,26.14,1.07,0.00,17.07,21.43,6.99,0.2
0,20231021,3,大村,1,3877,松浦博人,46,三重,58,B1,4.87,24.18,0.00,0.00,47.06,41.25,6.99,0.2
1,20231021,3,大村,2,3843,上之晃弘,47,長崎,52,B1,5.56,34.82,5.03,30.77,24.36,28.40,6.99,0.2
2,20231021,3,大村,3,3523,寳田亮治,54,福岡,53,A2,4.89,28.95,5.12,33.33,42.86,43.24,6.99,0.2
3,20231021,3,大村,4,4533,峰重侑治,34,岡山,51,B1,5.52,38.14,4.92,30.61,32.56,27.27,6.99,0.2
4,20231021,3,大村,5,4288,永田啓二,39,福岡,53,A1,7.50,63.83,7.23,50.00,31.40,24.68,6.99,0.2
5,20231021,3,大村,6,5038,金田智博,25,福井,52,A2,6.54,53.04,7.09,54.55,41.86,39.24,6.99,0.2
0,20231021,4,大村,1,5051,松本純平,28,埼玉,54,A1,6.49,47.79,6.00,28.57,21.95,33.33,6.99,0.2
1,20231021,4,大村,2,3334,角ひとみ,55,広島,45,B1,4.55,26.80,5.16,35.29,29.55,40.96,6.99,0.2
2,20231021,4,大村,3,4301,関裕也,40,福岡,53,B1,4.71,32.53,6.41,53.85,16.88,29.35,6.99,0.2
3,20231021,4,大村,4,4458,抹香雄三,37,広島,53,B1,4.40,25.89,4.06,12.90,34.12,34.52,6.99,0.2
4,20231021,4,大村,5,3792,田中豪,51,東京,53,A1,5.33,33.72,0.00,0.00,34.83,40.85,6.99,0.2
5,20231021,4,大村,6,5188,武井莉里,23,兵庫,43,B1,4.45,25.00,2.65,5.88,49.45,24.44,6.99,0.2
0,20231021,5,大村,1,4522,古澤光紀,35,福岡,53,A1,6.41,49.45,6.64,40.48,30.23,38.46,6.99,0.2
1,20231021,5,大村,2,3986,沖島広和,45,福岡,55,A2,6.18,44.70,5.94,43.75,32.58,28.57,6.99,0.2
2,20231021,5,大村,3,3780,魚谷智之,47,兵庫,52,A1,6.63,44.53,7.02,40.00,14.47,42.86,6.99,0.2
3,20231021,5,大村,4,4579,中嶋健一,34,三重,53,A2,6.30,46.83,0.00,0.00,35.96,34.78,6.99,0.2
4,20231021,5,大村,5,3519,冨田秀幸,55,愛知,51,B1,4.99,25.00,4.86,14.29,26.44,37.04,6.99,0.2
5,20231021,5,大村,6,3935,岩津徹郎,46,岡山,53,B1,4.81,24.05,5.30,31.82,30.34,44.94,6.99,0.2
0,20231021,6,大村,1,4654,篠田優也,37,兵庫,54,A2,5.98,42.53,5.71,35.29,34.09,38.82,6.99,0.2
1,20231021,6,大村,2,3746,岡瀬正人,48,岡山,52,A2,6.03,41.61,4.82,22.22,32.97,36.08,6.99,0.2
2,20231021,6,大村,3,3859,多羅尾達,50,東京,54,B1,5.05,28.38,3.82,9.09,39.33,33.71,6.99,0.2
3,20231021,6,大村,4,4457,神田達也,37,愛知,52,B1,4.52,26.58,3.13,12.50,18.42,37.88,6.99,0.2
4,20231021,6,大村,5,4308,河村了,39,愛知,51,A1,6.88,49.23,5.85,37.04,62.92,30.59,6.99,0.2
5,20231021,6,大村,6,3970,亀山高雅,47,群馬,53,B1,4.82,23.58,3.75,12.50,34.12,40.22,6.99,0.2
0,20231021,7,大村,1,4352,下條雄太,37,長崎,52,A1,6.78,46.38,7.39,60.96,35.16,31.87,6.99,0.2
1,20231021,7,大村,2,4413,水摩敦,37,福岡,51,A1,5.92,42.20,6.30,42.59,32.95,42.50,6.99,0.2
2,20231021,7,大村,3,4864,小川日紀,34,福岡,53,B1,4.48,23.91,4.39,26.09,25.88,21.52,6.99,0.2
3,20231021,7,大村,4,4815,伏島祐介,33,東京,54,B1,4.59,23.23,5.00,28.57,35.96,46.32,6.99,0.2
4,20231021,7,大村,5,4257,古川健,39,広島,53,A2,5.05,33.68,5.39,39.22,22.99,35.63,6.99,0.2
5,20231021,7,大村,6,5122,相馬翔,22,埼玉,56,B1,3.40,9.68,4.96,29.63,27.50,36.27,6.99,0.2
0,20231021,8,大村,1,5129,山口真喜,26,長崎,46,B2,4.97,32.35,4.29,19.42,35.63,35.80,6.99,0.2
1,20231021,8,大村,2,3618,海野ゆか,49,広島,44,A2,6.76,51.22,6.24,40.91,37.93,27.38,6.99,0.2
2,20231021,8,大村,3,5188,武井莉里,23,兵庫,43,B1,4.45,25.00,2.65,5.88,49.45,24.44,6.99,0.2
3,20231021,8,大村,4,5200,筒井美琴,21,福岡,49,B2,1.68,0.00,1.40,0.00,39.13,32.18,6.99,0.2
4,20231021,8,大村,5,3674,岸恵子,51,徳島,47,A2,5.32,36.84,6.18,50.00,29.11,19.54,6.99,0.2
5,20231021,8,大村,6,4874,池田奈津,29,福岡,51,B1,5.31,36.36,5.00,31.82,35.96,33.33,6.99,0.2
0,20231021,9,大村,1,5038,金田智博,25,福井,52,A2,6.54,53.04,7.09,54.55,41.86,39.24,6.99,0.2
1,20231021,9,大村,2,4522,古澤光紀,35,福岡,53,A1,6.41,49.45,6.64,40.48,30.23,38.46,6.99,0.2
